country,last_update,url,league_code,season_code,file_code,file_name
England,04/03/19,http://www.football-data.co.uk/mmz4281/0001/E3.csv,E3,0001,E3_0001,C:/R Projects/football-data/raw_data/E3_0001.csv
England,04/03/19,http://www.football-data.co.uk/mmz4281/9900/E0.csv,E0,9900,E0_9900,C:/R Projects/football-data/raw_data/E0_9900.csv
England,04/03/19,http://www.football-data.co.uk/mmz4281/9900/E1.csv,E1,9900,E1_9900,C:/R Projects/football-data/raw_data/E1_9900.csv
England,04/03/19,http://www.football-data.co.uk/mmz4281/9900/E2.csv,E2,9900,E2_9900,C:/R Projects/football-data/raw_data/E2_9900.csv
England,04/03/19,http://www.football-data.co.uk/mmz4281/9900/E3.csv,E3,9900,E3_9900,C:/R Projects/football-data/raw_data/E3_9900.csv
England,04/03/19,http://www.football-data.co.uk/mmz4281/9899/E0.csv,E0,9899,E0_9899,C:/R Projects/football-data/raw_data/E0_9899.csv
England,04/03/19,http://www.football-data.co.uk/mmz4281/9899/E1.csv,E1,9899,E1_9899,C:/R Projects/football-data/raw_data/E1_9899.csv
England,04/03/19,http://www.football-data.co.uk/mmz4281/9899/E2.csv,E2,9899,E2_9899,C:/R Projects/football-data/raw_data/E2_9899.csv
England,04/03/19,http://www.football-data.co.uk/mmz4281/9899/E3.csv,E3,9899,E3_9899,C:/R Projects/football-data/raw_data/E3_9899.csv
England,04/03/19,http://www.football-data.co.uk/mmz4281/9798/E0.csv,E0,9798,E0_9798,C:/R Projects/football-data/raw_data/E0_9798.csv
England,04/03/19,http://www.football-data.co.uk/mmz4281/9798/E1.csv,E1,9798,E1_9798,C:/R Projects/football-data/raw_data/E1_9798.csv
England,04/03/19,http://www.football-data.co.uk/mmz4281/9798/E2.csv,E2,9798,E2_9798,C:/R Projects/football-data/raw_data/E2_9798.csv
England,04/03/19,http://www.football-data.co.uk/mmz4281/9798/E3.csv,E3,9798,E3_9798,C:/R Projects/football-data/raw_data/E3_9798.csv
England,04/03/19,http://www.football-data.co.uk/mmz4281/9697/E0.csv,E0,9697,E0_9697,C:/R Projects/football-data/raw_data/E0_9697.csv
England,04/03/19,http://www.football-data.co.uk/mmz4281/9697/E1.csv,E1,9697,E1_9697,C:/R Projects/football-data/raw_data/E1_9697.csv
England,04/03/19,http://www.football-data.co.uk/mmz4281/9697/E2.csv,E2,9697,E2_9697,C:/R Projects/football-data/raw_data/E2_9697.csv
England,04/03/19,http://www.football-data.co.uk/mmz4281/9697/E3.csv,E3,9697,E3_9697,C:/R Projects/football-data/raw_data/E3_9697.csv
England,04/03/19,http://www.football-data.co.uk/mmz4281/9596/E0.csv,E0,9596,E0_9596,C:/R Projects/football-data/raw_data/E0_9596.csv
England,04/03/19,http://www.football-data.co.uk/mmz4281/9596/E1.csv,E1,9596,E1_9596,C:/R Projects/football-data/raw_data/E1_9596.csv
England,04/03/19,http://www.football-data.co.uk/mmz4281/9596/E2.csv,E2,9596,E2_9596,C:/R Projects/football-data/raw_data/E2_9596.csv
England,04/03/19,http://www.football-data.co.uk/mmz4281/9596/E3.csv,E3,9596,E3_9596,C:/R Projects/football-data/raw_data/E3_9596.csv
England,04/03/19,http://www.football-data.co.uk/mmz4281/9495/E0.csv,E0,9495,E0_9495,C:/R Projects/football-data/raw_data/E0_9495.csv
England,04/03/19,http://www.football-data.co.uk/mmz4281/9495/E1.csv,E1,9495,E1_9495,C:/R Projects/football-data/raw_data/E1_9495.csv
England,04/03/19,http://www.football-data.co.uk/mmz4281/9495/E2.csv,E2,9495,E2_9495,C:/R Projects/football-data/raw_data/E2_9495.csv
